,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
12553,12553,0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986.0,Laure Leaf,http://images.amazon.com/images/P/0440949424.01.MZZZZZZZ.jpg,"When Nore Robbins visits her new stepmother, brother, and sister in
Louisiana, she is unnerved by the feeling of evil and eerie threats
that pervades the plantation. Reissue.",en,Juvenile Fiction
12567,12567,0505524996,Contact,Susan Grant,2002.0,Love Spell,http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg,"An airline officer on a trans-Atlantic flight finds her ship hijacked
by aliens and a member of her crew the only one she can trustand
eventually love.",en,Fiction
12577,12577,0140252800,The Brimstone Wedding,Barbara Vine,1997.0,Penguin Books Ltd,http://images.amazon.com/images/P/0140252800.01.MZZZZZZZ.jpg,9,9,9
12586,12586,0451452755,The Catswold Portal,Shirley Rousseau Murphy,1993.0,Roc,http://images.amazon.com/images/P/0451452755.01.MZZZZZZZ.jpg,9,9,9
12592,12592,0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002.0,Tor Fantasy,http://images.amazon.com/images/P/0812575482.01.MZZZZZZZ.jpg,"That, she understands just fine. She&#39;s not your standard-issue
princess-and this is not your standard-issue fairy tale.",en,Fiction
12607,12607,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995.0,Warner Books,http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg,"The author of the blockbuster The Bridges of Madison County blends
passion and adventure in the story of an American novelist in Mexico
and his young lover, who take a trip with a killer.",en,Fiction
12664,12664,0060801263,Tree Grows In Brooklyn,Betty Smith,1988.0,Harpercollins Publisher,http://images.amazon.com/images/P/0060801263.01.MZZZZZZZ.jpg,A poignant story of childhood and family relationships.,en,American fiction
12686,12686,0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001.0,Avon Books,http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg,Scott Foresman Reading Street ((c)2008) components for Grade 5.,en,Biography & Autobiography
12695,12695,0140250964,Snow Angels,Stewart O'Nan,1995.0,Penguin Books,http://images.amazon.com/images/P/0140250964.01.MZZZZZZZ.jpg,"Weaves together two stories in the account of how fifteen-year-old
Arthur Parkinson&#39;s family fell apart and the life and death of
Annie Marchand, a young woman Arthur adored as a child",en,Fiction
12701,12701,0446527165,Wish You Well,David Baldacci,2000.0,Warner Books,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg,9,9,9
12785,12785,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982.0,Pocket,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,"After Earth is demolished to make way for a new hyperspatial
expressway, Arthur Dent begins to hitch-hike through space.",en,Humorous stories
12826,12826,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003.0,Delta,http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg,"Kate Morrison, orphaned at the age of seven, grows up seeing her
brilliant older brother Matt&#39;s failure to further his education as
a tragedy, and feeling somewhat guilty about her own accomplishments,
and it is not until years later that ...",en,FICTION
12892,12892,039575514X,My Antonia,Willa Cather,1995.0,Mariner Books,http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood
in Nebraska, particularly a young Bohemian girl named Antonia
Shimerda, are set against the backdrop of the American assimilation of
immigrants.",en,Fiction
12918,12918,0451206673,Pen Pals,Olivia Goldsmith,2002.0,Signet Book,http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg,9,9,9
12976,12976,0330332775,Bridget Jones's Diary,Helen Fielding,1997.0,Picador (UK),http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,"Bridget Jones&#39;s Diary was first published in 1996 and applauded by
critics from Salman Rushdie to Jilly Cooper.",en,Diary fiction
13106,13106,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995.0,Dover Publications,http://images.amazon.com/images/P/0486284735.01.MZZZZZZZ.jpg,"In early nineteenth-century England, a spirited young woman copes with
the suit of a snobbish gentleman, as well as the romantic
entanglements of her four sisters.",en,Fiction
13141,13141,0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998.0,Aladdin,http://images.amazon.com/images/P/0671021745.01.MZZZZZZZ.jpg,9,9,9
13144,13144,0671047612,Skin And Bones,Franklin W. Dixon,2000.0,Aladdin,http://images.amazon.com/images/P/0671047612.01.MZZZZZZZ.jpg,"Cody Chang&#39;s San Francisco store could be considered creepy --
Skin &amp; Bones sells animal skulls, fish skeletons, reptile skins,
and more.",en,Juvenile Fiction
13147,13147,0671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995.0,Simon Pulse,http://images.amazon.com/images/P/0671504282.01.MZZZZZZZ.jpg,"When Frank and Joe&#39;s father gets involved with an international
network of terrorists who inject him with a fatal dose of anthrax-B,
the boys must must race to the jungles of Borneo to rescue him.",en,Juvenile Fiction
13149,13149,0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994.0,Putnam Pub Group,http://images.amazon.com/images/P/0399138684.01.MZZZZZZZ.jpg,9,9,9
13176,13176,0785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003.0,Nelson Books,http://images.amazon.com/images/P/0785263292.01.MZZZZZZZ.jpg,"Invites readers to view single life as an opportunity to take
advantage of unique possibilities and to discover their God-ordained
purpose, offering advice on how to avoid putting one&#39;s life on
hold while waiting for a mate and live each ...",en,Religion
13178,13178,0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989.0,Regal Books,http://images.amazon.com/images/P/0830714014.01.MZZZZZZZ.jpg,9,9,9
13180,13180,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990.0,Del Rey Books,http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg,"Then she met the Horseman. And she discovered that one who would ride
a night mare was a master of bit and spur, and not a man to surrender
her. For the night mare, it all began to be a horrible nightmare!",en,Fiction
13206,13206,0553278223,The Martian Chronicles,RAY BRADBURY,1984.0,Spectra,http://images.amazon.com/images/P/0553278223.01.MZZZZZZZ.jpg,9,9,9
13271,13271,3150000335,Kabale Und Liebe,Schiller,1994.0,"Philipp Reclam, Jun Verlag GmbH",http://images.amazon.com/images/P/3150000335.01.MZZZZZZZ.jpg,9,9,9
13280,13280,3257203659,Der illustrierte Mann. Erz?hlungen.,Ray Bradbury,2002.0,Diogenes,http://images.amazon.com/images/P/3257203659.01.MZZZZZZZ.jpg,9,9,9
13283,13283,3257207522,Der K?nig in Gelb.,Raymond Chandler,1980.0,Diogenes Verlag,http://images.amazon.com/images/P/3257207522.01.MZZZZZZZ.jpg,9,9,9
13284,13284,3257208626,Fahrenheit 451,Ray Bradbury,1994.0,Distribooks Inc,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,"In einer zuknftigen Welt absoluter Konformitt wird das Buch als
letzter Zeuge individuellen Denkens mit allen Mitteln amtlicherseits
bekmpft. SW: Utopischer Roman",de,Fiction
13299,13299,3257208634,Die Mars- Chroniken. Roman in Erz?hlungen.,Ray Bradbury,1981.0,Diogenes Verlag,http://images.amazon.com/images/P/3257208634.01.MZZZZZZZ.jpg,9,9,9
13300,13300,3257208669,Das B?se kommt auf leisen Sohlen.,Ray Bradbury,2003.0,Diogenes,http://images.amazon.com/images/P/3257208669.01.MZZZZZZZ.jpg,9,9,9
13302,13302,3257210450,L?wenzahnwein. Roman.,Ray Bradbury,1999.0,Diogenes Verlag,http://images.amazon.com/images/P/3257210450.01.MZZZZZZZ.jpg,9,9,9
13304,13304,3257212054,Das Kind von morgen. Erz?hlungen.,Ray Bradbury,2000.0,Diogenes Verlag,http://images.amazon.com/images/P/3257212054.01.MZZZZZZZ.jpg,9,9,9
13306,13306,3257212429,Die Mechanismen der Freude. Erz?hlungen.,Ray Bradbury,2000.0,Diogenes Verlag,http://images.amazon.com/images/P/3257212429.01.MZZZZZZZ.jpg,9,9,9
13307,13307,3257214154,Familientreffen. Erz?hlungen.,Ray Bradbury,2000.0,Diogenes Verlag,http://images.amazon.com/images/P/3257214154.01.MZZZZZZZ.jpg,9,9,9
13308,13308,3257216416,Der Tod kommt schnell in Mexico. Erz?hlungen.,Ray Bradbury,1988.0,Diogenes Verlag,http://images.amazon.com/images/P/3257216416.01.MZZZZZZZ.jpg,9,9,9
13310,13310,3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002.0,Distribooks,http://images.amazon.com/images/P/3257233051.01.MZZZZZZZ.jpg,9,9,9
13329,13329,342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,1994.0,Deutscher Taschenbuch Verlag (DTV),http://images.amazon.com/images/P/342311360X.01.MZZZZZZZ.jpg,9,9,9
13331,13331,3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993.0,Dtv,http://images.amazon.com/images/P/3423116714.01.MZZZZZZZ.jpg,9,9,9
13332,13332,3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998.0,Dtv,http://images.amazon.com/images/P/3423241489.01.MZZZZZZZ.jpg,9,9,9
13335,13335,3426605686,Haifischfrauen.,Kiana Davenport,1996.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",http://images.amazon.com/images/P/3426605686.01.MZZZZZZZ.jpg,9,9,9
13337,13337,3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002.0,Heyne,http://images.amazon.com/images/P/3453212150.01.MZZZZZZZ.jpg,9,9,9
13344,13344,3462021095,Schwarzer Tee mit drei Stck Zucker,Renan Demirkan,1991.0,Kiepenheuer & Witsch,http://images.amazon.com/images/P/3462021095.01.MZZZZZZZ.jpg,"Eine junge Trkin, die hochschwanger in einem dt. Krankenhaus liegt,
erinnert sich an ihre frhe Kindheit in Anatolien und an ihre Jugend
in Westdeutschland.",de,German language
13345,13345,3492045642,Quersch?sse - Downsize This!,Michael Moore,2003.0,Piper,http://images.amazon.com/images/P/3492045642.01.MZZZZZZZ.jpg,9,9,9
13358,13358,3498020862,Die Korrekturen.,Jonathan Franzen,2002.0,"Rowohlt, Reinbek",http://images.amazon.com/images/P/3498020862.01.MZZZZZZZ.jpg,Im Mittelpunkt steht die Familie Lambert.,de,American fiction
13373,13373,3499110695,Neun Erz?hlungen.,Jerome D. Salinger,1968.0,Rowohlt Tb.,http://images.amazon.com/images/P/3499110695.01.MZZZZZZZ.jpg,9,9,9
13376,13376,3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998.0,Rowohlt Tb.,http://images.amazon.com/images/P/3499151502.01.MZZZZZZZ.jpg,9,9,9
13378,13378,3518111000,"Ulysses (??bersetzg. Wollschl?ger). ( Neue Folge, 100).",James Joyce,1981.0,Suhrkamp,http://images.amazon.com/images/P/3518111000.01.MZZZZZZZ.jpg,"Mit den Mitteln moderner Tiefenpsycholgie gestaltete Erlebnisse,
Handlungen, Gesprche, Gedanken und Trume eines Durchschnittsmenschen
whrend eines Tages in Dublin. SW: Psychologischer Roman.",en,"Bloom, Leopold (Fictitious character)"
13379,13379,3548254268,Eine ganz normale Aff?re.,Joanna Trollope,2002.0,Ullstein Tb,http://images.amazon.com/images/P/3548254268.01.MZZZZZZZ.jpg,9,9,9
13380,13380,3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,2002.0,"Bertelsmann, M?nchen",http://images.amazon.com/images/P/3570300099.01.MZZZZZZZ.jpg,9,9,9
13381,13381,3596292646,Das Buch der l?cherlichen Liebe.,Milan Kundera,2000.0,"Fischer (Tb.), Frankfurt",http://images.amazon.com/images/P/3596292646.01.MZZZZZZZ.jpg,"Die im &#39;Buch der lcherlichen Liebe&#39; versammelten Erzhlungen
sind noch in den sechziger Jahren in Prag entstanden.",de,9
13391,13391,0060915544,The Bean Trees,Barbara Kingsolver,1989.0,Perennial,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,9,9,9
13635,13635,0060977493,The God of Small Things,Arundhati Roy,1998.0,Perennial,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,"A debut novel of dark foreboding and family tragedy that won the
prestigious Booker Prize traces the decline of one family in Southern
India in the late sixties, which begins with an episode of forbidden
love. Reprint. Tour.",en,Fiction
13861,13861,0140272100,Vanished,Mary McGarry Morris,1997.0,Penguin Books,http://images.amazon.com/images/P/0140272100.01.MZZZZZZZ.jpg,Aubrey Wallace is the kind of man no one notices.,en,Fiction
13867,13867,0156006529,Where or When  : A Novel,Anita Shreve,1999.0,Harvest Books,http://images.amazon.com/images/P/0156006529.01.MZZZZZZZ.jpg,"When two lovers meet once again after thirty-one years of separation,
they renew their attraction to each other and grapple with the issues
of aging, erotic love, and betrayal. Reprint. 20,000 first printing.",en,Fiction
13962,13962,0312169787,The Red Tent : A Novel,Anita Diamant,1997.0,St. Martin's Press,http://images.amazon.com/images/P/0312169787.01.MZZZZZZZ.jpg,"In a story based on the Book of Genesis, Jacob&#39;s only daughter,
Dinah, shares her unique perspective on the origins of many of our
modern religious practices and sexual politics, eager to impart the
lessons in endurance and humanity she has ...",en,Fiction
13991,13991,0312872682,The James Dean Affair: A Neil Gulliver & Stevie Marriner Novel,Robert S. Levinson,2000.0,St Martins Pr,http://images.amazon.com/images/P/0312872682.01.MZZZZZZZ.jpg,9,9,9
13997,13997,0316096199,Lucky : A Memoir,Alice Sebold,2002.0,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg,9,9,9
14298,14298,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999.0,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg,9,9,9
14866,14866,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003.0,"Little, Brown",http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg,9,9,9
14986,14986,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002.0,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,9,9,9
16281,16281,0316693006,Four Blind Mice,James Patterson,2002.0,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,9,9,9
16403,16403,0316776963,Me Talk Pretty One Day,David Sedaris,2001.0,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,9,9,9
16743,16743,0316899984,"River, Cross My Heart",Breena Clarke,1999.0,Little Brown & Company,http://images.amazon.com/images/P/0316899984.01.MZZZZZZZ.jpg,9,9,9
16925,16925,0345311396,Private Screening,Richard North Patterson,1994.0,Ballantine Books,http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg,9,9,9
16981,16981,0345378490,Congo,Michael Crichton,1995.0,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,"Armed with the latest gifts of advanced technology, a California
scientist, a ruthless corporation agent, and a mercenary hunter face
the dangers of the Congo jungle in search of the diamonds of the lost
city of Zinj Deep in the heart of ...",en,Fiction
17269,17269,0345404793,Protect and Defend,Richard North Patterson,2001.0,Ballantine Books,http://images.amazon.com/images/P/0345404793.01.MZZZZZZZ.jpg,"When the Chief Justice of the Supreme Court drops dead following the
inauguration, President Kerry Kilcannon selects as a replacement Judge
Caroline Masters, a woman who hides a secret that could affect her
ruling on a controversial case.",en,Fiction
17328,17328,0345409051,Errands,Judith Guest,1998.0,Ballantine Books,http://images.amazon.com/images/P/0345409051.01.MZZZZZZZ.jpg,"Afflicted with grief, a widow and her three young children begin
drifting apart, until a frightening accident awakens them to the bonds
they still share",en,Fiction
17344,17344,0345433173,The Tall Pine Polka,Lorna Landvik,1999.0,Ballantine Books,http://images.amazon.com/images/P/0345433173.01.MZZZZZZZ.jpg,9,9,9
17358,17358,0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1998.0,Silhouette,http://images.amazon.com/images/P/0373483880.01.MZZZZZZZ.jpg,"The MacGregors; Serena &amp; Caine by Nora Roberts released on Oct 23,
1998 is available now for purchase.",en,Fiction
17402,17402,0375400117,Memoirs of a Geisha,Arthur Golden,1997.0,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg,"&quot;Captivating, minutely imagined . . . a novel that refuses to
stay shut&quot; (&quot;Newsweek&quot;), &quot;Memoirs of a
Geisha&quot; is now released in a movie tie-in edition.",en,Fiction
17485,17485,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000.0,Vintage,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg,"From the unsettled lives of a small-town teacher struggling to raise
two boys alone in the face of their mother&#39;s retreat from life, a
pregnant teenage girl with nowhere to go, and two elderly bachelor
farmers emerges a new vision of life ...",en,Fiction
17641,17641,0375727345,House of Sand and Fog,Andre Dubus III,2000.0,Vintage Books,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg,9,9,9
18193,18193,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992.0,Avon,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,"Pop-up paper sculptures for each letter celebrate the Christmas
season.",en,Fiction
18328,18328,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993.0,Avon,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,"Dr. Kay Scarpetta is up against a serial killer who targets young
lovers.",en,Fiction
18512,18512,0380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988.0,Avon Books,http://images.amazon.com/images/P/0380754509.01.MZZZZZZZ.jpg,"While spending part of the summer at picturesque Magic Lake, twelve-
year-old Flee Jay and her competitive bright younger sister become
involved with a hermit, vandalism, and a forty-year-old mystery
concerning a kidnapped child.",en,Detective and mystery stories
18515,18515,038076654X,Petals on the River,Kathleen E. Woodiwiss,1997.0,Avon Trade,http://images.amazon.com/images/P/038076654X.01.MZZZZZZZ.jpg,9,9,9
18541,18541,0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999.0,Avon,http://images.amazon.com/images/P/0380807866.01.MZZZZZZZ.jpg,9,9,9
18570,18570,0385316895,Legacy of Silence,Belva Plain,1998.0,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385316895.01.MZZZZZZZ.jpg,"Two sisters separated by adoption and a romantic betrayal emigrate to
America from Berlin after their parents fall victim to the Nazis Belva
Plain has crafted a remarkable tale, spanning the decades from the eve
of World War II in Germany ...",en,Fiction
18582,18582,0385497466,The Brethren,JOHN GRISHAM,2000.0,Doubleday,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,9,9,9
18726,18726,0385508042,The King of Torts,John Grisham,2003.0,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,"The author of such best-selling legal thrillers as The Summons and The
Brethren presents his latest novel of courtroom and legal suspense.
2,500,000 first printing. $2,500,000 ad/promo.",en,Fiction
18936,18936,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003.0,Doubleday,http://images.amazon.com/images/P/0385509456.01.MZZZZZZZ.jpg,9,9,9
19018,19018,0385511612,Bleachers,John Grisham,2003.0,Doubleday,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,"From the best-selling author of The Painted House, Skipping Christmas,
and The Firm comes a nostalgic novel about high school football in a
small Texas town, a place in which football has become a religion.
2,000,000 first printing.",en,Fiction
19169,19169,0385720106,A Map of the World,Jane Hamilton,1999.0,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.MZZZZZZZ.jpg,"While under the care of Alice Goodwin, a neighbor&#39;s child drowns
in the Goodwins&#39; pond, a devastating accident that has profound
repercussions for the entire Goodwin family, in a story set in a small
Midwestern farm town",en,Fiction
19489,19489,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003.0,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg,"Over a few bags of cheese puffs they decide to form a sisterhood, and
take the vow of The Sisterhood of the Traveling Pants . . . the next
morning, they say good-bye.",en,Juvenile Fiction
19619,19619,0425092917,The Accidental Tourist,Anne Tyler,1994.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425092917.01.MZZZZZZZ.jpg,9,9,9
19740,19740,0425098834,If Morning Ever Comes,Anne Tyler,1983.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425098834.01.MZZZZZZZ.jpg,9,9,9
19747,19747,0425163407,Unnatural Exposure,Patricia Daniels Cornwell,1998.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425163407.01.MZZZZZZZ.jpg,"In a number-one New York Times best-seller, detective Kay Scarpetta
returns in a terrifying battle of wits against a vicious, saw-wielding
killer no one can see. By the author of Cause of Death. Reprint.",en,Fiction
19931,19931,0425164403,Only Love (Magical Love),Erich Segal,1998.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425164403.01.MZZZZZZZ.jpg,"Matthew Hiller finds himself caught in the middle among his
Hippocratic oath, his past, and a potential future with a beautiful
but terminally ill woman married to another man",en,Fiction
19948,19948,0440224764,The Partner,John Grisham,1998.0,Dell Publishing Company,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg,9,9,9
20297,20297,0440226430,Summer Sisters,Judy Blume,1999.0,Dell Publishing Company,http://images.amazon.com/images/P/0440226430.01.MZZZZZZZ.jpg,9,9,9
20779,20779,0440234964,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,2000.0,Island,http://images.amazon.com/images/P/0440234964.01.MZZZZZZZ.jpg,"Attorney and law professor Marla Cwitowitz teams up with her
boyfriend, private detective Al Giraud, when they investigate Steve
Mallard, a husband and father who has become the prime suspect in the
disappearance--and perhaps murder--of ...",en,Fiction
20789,20789,044023722X,A Painted House,John Grisham,2001.0,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,"Racial tension, a forbidden love affair, and murder are seen through
the eyes of a seven-year-old boy in a 1950s Southern cotton-farming
community.",en,Fiction
21436,21436,0446353205,The Charm School,Nelson DeMille,1989.0,Warner Books,http://images.amazon.com/images/P/0446353205.01.MZZZZZZZ.jpg,"The secret concerns &quot;The Charm School,&quot; a vast and
astounding KGB conspiracy that stands poised against the very
heartland of America.",en,Fiction
21516,21516,0446358592,By the Rivers of Babylon,Nelson DeMille,1990.0,Warner Books,http://images.amazon.com/images/P/0446358592.01.MZZZZZZZ.jpg,"Lod Airport, Israel: Two Concorde jets take off for a U.N. conference
that will finally bring peace to the Middle East.",en,Fiction
21546,21546,0446360856,The Gold Coast,Nelson DeMille,1991.0,Warner Books,http://images.amazon.com/images/P/0446360856.01.MZZZZZZZ.jpg,"Told from Sutter&#39;s sardonic and often hilarious point of view, and
laced with sexual passion and suspense, The Gold Coast is Nelson
DeMille&#39;s captivating story of friendship and seduction, love and
betrayal.",en,Fiction
21621,21621,0446364800,The General's Daughter,Nelson DeMille,1993.0,Warner Books,http://images.amazon.com/images/P/0446364800.01.MZZZZZZZ.jpg,9,9,9
21750,21750,0446600466,Black Market,James Patterson,1994.0,Warner Books,http://images.amazon.com/images/P/0446600466.01.MZZZZZZZ.jpg,9,9,9
21779,21779,0446600474,Season of the Machete,James Patterson,1995.0,Warner Books,http://images.amazon.com/images/P/0446600474.01.MZZZZZZZ.jpg,"Forsaking his life of leisure, Peter Macdonald prepares for a
confrontation on a vacation island with psychopathic killers-for-hire
Damian and Carrie Rose",en,Fiction
21852,21852,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001.0,Warner Vision,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,9,9,9
22082,22082,0446606383,The Midnight Club,James Patterson,1999.0,Warner Vision,http://images.amazon.com/images/P/0446606383.01.MZZZZZZZ.jpg,9,9,9
22175,22175,0446610399,The Rescue,Nicholas Sparks,2001.0,Warner Books,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,9,9,9
22370,22370,0446612790,2nd Chance,James Patterson,2003.0,Warner Vision,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,9,9,9
22599,22599,0449006522,Manhattan Hunt Club,JOHN SAUL,2002.0,Ballantine Books,http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg,"When college student Jeff Converse is wrongly accused of a violent
crime, he becomes trapped in the dark and evil underworld of Manhattan
where deranged predators hunt for prey in a deadly game.",en,Fiction
22710,22710,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996.0,Ballantine Books,http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg,"Centering around a Minneapolis beauty parlor that also functions as a
women&#39;s support group, this novel explores the loves, losses,
hopes, and victories experienced by Patty Jane and Harriet, two
eccentric sisters",en,Fiction
22789,22789,0451162072,Pet Sematary,Stephen King,1994.0,Signet Book,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg,"When a little boy&#39;s pet dies, and he persuades his parents to bury
it in an old Indian cemetary, reputed by legend to house restless
spirits, a nightmare of death and destruction begins as deceased
animals come back to life. Reissue.",en,Fiction
22857,22857,0451186648,Silent Snow,Steve Thayer,2000.0,Signet Book,http://images.amazon.com/images/P/0451186648.01.MZZZZZZZ.jpg,"Twin Cities investigative reporter Rick Beanblossom&#39;s family
becomes the target of a terrifying copycat crime on the anniversary of
the 1932 Lindberg kidnapping. Reprint.",en,Fiction
22895,22895,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,"A poor seventeenth-century servant girl knows her place in the
household of the painter Johannes Vermeer, but when he begins to paint
her, nasty whispers and rumors circulate throughout the town. Reprint.",en,Fiction
23421,23421,051512219X,Small Town Girl,Lavyrle Spencer,1998.0,Jove Books,http://images.amazon.com/images/P/051512219X.01.MZZZZZZZ.jpg,"Country music superstar Mac McPhail returns to her hometown of
Wintergreen, Missouri, where she learns to appreciate her family and
to open her heart to love and commitment with the man next door.
Reprint.",en,Fiction
23507,23507,0515130389,Carolina Moon,Nora Roberts,2001.0,Jove Books,http://images.amazon.com/images/P/0515130389.01.MZZZZZZZ.jpg,"From the #1 New York Times bestselling author-a spellbinding tale
about a woman who, though battered in both body and spirit, never
loses hope...",en,Fiction
23681,23681,051513290X,Summer of Storms,Judith Kelman,2002.0,Jove Books,http://images.amazon.com/images/P/051513290X.01.MZZZZZZZ.jpg,"Thirty years after the murder of her sister, photojournalist Anna
Jamieson returns to New York City, the scene of the unsolved crime,
and finds herself on a collision course with her terrifying memories
and with a fiendishly clever killer.",en,Fiction
23721,23721,0517122707,A Confederacy of Dunces,John Kennedy Toole,1995.0,Outlet Books Company,http://images.amazon.com/images/P/0517122707.01.MZZZZZZZ.jpg,9,9,9
23798,23798,0553580388,The Patient,Michael Palmer,2001.0,Bantam Books,http://images.amazon.com/images/P/0553580388.01.MZZZZZZZ.jpg,"Blackmailed by a master assassin to agree to perform life-saving
surgery on the killer, famous neurosurgeon Jesse Copeland struggles
with the choice between saving a terrorist&#39;s life or the lives of
those he threatens. Reprint.",en,Fiction
